length,wxplain,rxplain,wxenc,rxenc
64,991673,991734,4716226,4986817
128,518446,518554,2429066,2598447
256,287120,287211,1506504,1621390
512,150944,150980,1003695,1068489
1024,97343,97343,765735,798319
2048,69989,70022,654516,672157
4096,58059,58055,617914,618528
