datalen,pkglen,wxplain,rxplain,tpplain,wxenc,rxenc,tpenc
256,64,8171,8166,29.563,8901,8893,26.702
256,128,8617,8609,27.656,9661,9653,24.795
256,256,11032,11024,21.934,11127,11117,21.934
256,512,11529,11519,20.980,10889,10879,21.934
256,1024,21516,21506,10.490,21434,21429,10.490
256,1500,28541,28531,7.629,29275,29266,7.629
256,2048,40219,40212,5.722,37725,37718,5.722
256,4096,56450,56441,3.814,56974,56965,3.814
1024,64,26195,26178,37.193,32530,32501,29.563
1024,128,28286,28260,34.332,37163,37129,25.749
1024,256,31050,31015,31.471,31423,31386,30.517
1024,512,35062,35024,27.656,34620,34567,27.656
1024,1024,44588,44550,20.980,48360,48351,20.027
1024,1500,32956,32914,29.563,36781,36761,25.749
1024,2048,40634,40596,23.841,44215,44186,21.934
1024,4096,60650,60613,15.258,60593,60592,15.258
102400,64,2476791,2475139,39.100,3229984,3226602,29.563
102400,128,2547691,2543921,38.146,2910339,2908321,33.378
102400,256,2622203,2618566,37.193,2939528,2938180,32.424
102400,512,2739457,2735619,35.285,2619173,2615583,37.193
102400,1024,2679288,2679146,36.239,2860232,2856988,33.378
102400,1500,2576806,2573068,37.193,2559211,2555480,38.146
102400,2048,2297145,2293566,41.961,2370401,2367156,41.007
102400,4096,1981515,1981288,48.637,1985718,1982087,48.637
10240000,64,255048039,254746730,38.146,336601452,336542652,28.610
10240000,128,260331172,260097439,37.193,288463765,288092012,33.378
10240000,256,239728271,239393277,40.054,274777374,274430560,35.285
10240000,512,265331846,264960161,36.239,282235647,281869550,34.332
10240000,1024,272143763,271760897,35.285,251138199,250800231,38.146
10240000,1500,275465520,275083013,35.285,282832725,282410207,34.332
10240000,2048,235985317,235970738,41.007,256025153,255714066,38.146
10240000,4096,193884732,193519760,49.591,195267762,194954324,49.591
