length,wxplain,rxplain,wxenc,rxenc
64,1024445349,1024509636,4830653337,5107870980
128,547335951,640545713,2509738848,2672596598
256,296088960,296233158,1572086808,1690844151
512,172205364,172762752,1034594067,1109922531
1024,129174036,135214575,803808006,850811391
2048,111995274,120472329,690424194,718126176
4096,97606722,104554044,624281177,648807897
